player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
Na Sang-ho,Korea Republic,FW,,1,2,0,0,,1,24.0,37.0,64.9,4.0,0,2.0,60.0,4.0,0.0,
Nader Ghandri,Tunisia,DF,,1,1,0,0,,0,27.0,33.0,81.8,2.0,1,4.0,45.0,0.0,0.0,
Nahuel Molina,Argentina,DF,,6,7,1,1,,1,291.0,358.0,81.3,8.0,3,11.0,398.0,3.0,0.5,
Nampalys Mendy,Senegal,MF,,3,4,0,0,,0,141.0,159.0,88.7,4.0,3,3.0,182.0,0.0,0.1,
Nasser Al-Dawsari,Saudi Arabia,FW,,0,1,0,0,,0,11.0,11.0,100.0,2.0,0,0.0,13.0,1.0,0.0,
Nathan Aké,Netherlands,DF,,5,5,0,0,,0,315.0,349.0,90.3,6.0,8,20.0,393.0,0.0,0.0,
Nathaniel Atkinson,Australia,DF,,0,1,0,0,,0,27.0,34.0,79.4,4.0,1,2.0,43.0,3.0,0.0,
Nawaf Al Abed,Saudi Arabia,MF,,1,2,0,0,,0,33.0,39.0,84.6,0.0,1,0.0,51.0,5.0,0.1,
Nayef Aguerd,Morocco,DF,,3,4,0,0,,0,137.0,158.0,86.7,4.0,4,12.0,185.0,0.0,0.2,
Naïm Sliti,Tunisia,MF,,1,2,0,0,,0,29.0,51.0,56.9,3.0,0,1.0,67.0,1.0,0.1,
Neco Williams,Wales,DF,,2,3,0,0,,0,69.0,101.0,68.3,5.0,4,5.0,138.0,2.0,0.1,
Nemanja Gudelj,Serbia,MF,,1,2,0,0,,0,44.0,52.0,84.6,2.0,2,1.0,59.0,2.0,0.0,
Nemanja Maksimović,Serbia,MF,,1,3,0,0,,0,50.0,57.0,87.7,4.0,3,3.0,75.0,1.0,0.0,
Nemanja Radonjić,Serbia,DF,,0,3,0,0,,0,15.0,24.0,62.5,0.0,0,1.0,36.0,1.0,0.1,
Neymar,Brazil,MF,,3,3,2,0,,6,121.0,153.0,79.1,1.0,1,0.0,203.0,12.0,2.7,
Niclas Füllkrug,Germany,FW,,0,3,2,1,,3,15.0,24.0,62.5,0.0,0,0.0,38.0,0.0,2.2,
Nico Elvedi,Switzerland,DF,,2,2,0,0,,0,131.0,142.0,92.3,2.0,1,13.0,165.0,0.0,0.1,
Nico Schlotterbeck,Germany,DF,,1,2,0,0,,0,110.0,123.0,89.4,4.0,1,1.0,135.0,1.0,0.0,
Nico Williams,Spain,FW,,1,4,0,0,,0,50.0,63.0,79.4,4.0,0,0.0,88.0,2.0,0.1,
Nicola Zalewski,Poland,MF,,0,2,0,0,,0,15.0,17.0,88.2,4.0,0,0.0,29.0,1.0,0.0,
Nicolas Jackson,Senegal,FW,,0,1,0,0,,0,9.0,10.0,90.0,0.0,0,0.0,11.0,0.0,0.0,
Nicolas Nkoulou,Cameroon,DF,,2,2,0,1,,1,79.0,91.0,86.8,2.0,5,8.0,115.0,0.0,0.3,
Nicolás De La Cruz,Uruguay,MF,,0,2,0,0,,1,20.0,25.0,80.0,0.0,0,0.0,28.0,1.0,0.0,
Nicolás Otamendi,Argentina,DF,,7,7,0,1,,0,532.0,577.0,92.2,10.0,9,24.0,639.0,1.0,0.0,
Nicolás Tagliafico,Argentina,DF,,4,6,0,0,,1,145.0,178.0,81.5,7.0,9,9.0,220.0,1.0,1.0,
Niklas Süle,Germany,DF,,3,3,0,0,,0,231.0,255.0,90.6,5.0,0,7.0,268.0,1.0,0.1,
Nikola Milenković,Serbia,DF,,3,3,0,0,,0,141.0,163.0,86.5,10.0,6,10.0,198.0,0.0,0.2,
Nikola Vlašić,Croatia,FW,,2,6,0,0,,1,45.0,55.0,81.8,1.0,1,0.0,80.0,6.0,0.4,
Noa Lang,Netherlands,MF,,0,1,0,0,,0,1.0,3.0,33.3,0.0,1,1.0,5.0,0.0,0.0,
Noah Okafor,Switzerland,FW,,0,3,0,0,,0,17.0,22.0,77.3,0.0,0,0.0,29.0,1.0,0.0,
Nouhou Tolo,Cameroon,DF,,3,3,0,0,,0,83.0,109.0,76.1,8.0,6,10.0,145.0,0.0,0.0,
Noussair Mazraoui,Morocco,DF,,4,5,0,0,,2,98.0,121.0,81.0,14.0,1,16.0,175.0,1.0,0.2,
Nuno Mendes,Portugal,DF,,0,1,0,0,,0,29.0,32.0,90.6,0.0,2,0.0,36.0,0.0,0.0,
Néstor Araujo,Mexico,DF,,1,1,0,0,,0,44.0,53.0,83.0,1.0,3,1.0,62.0,1.0,0.0,
Olivier Giroud,France,FW,,4,6,4,0,,6,48.0,74.0,64.9,1.0,1,5.0,111.0,1.0,3.4,
Olivier Ntcham,Cameroon,MF,,0,1,0,0,,1,11.0,12.0,91.7,0.0,0,1.0,14.0,0.0,0.0,
Orbelín Pineda,Mexico,MF,,0,1,0,0,,1,18.0,25.0,72.0,4.0,0,0.0,46.0,3.0,0.3,
Osman Bukari,Ghana,MF,,0,2,1,0,,1,14.0,20.0,70.0,0.0,1,1.0,29.0,1.0,0.5,
Otávio,Portugal,MF,,2,3,0,0,,2,98.0,127.0,77.2,7.0,1,1.0,145.0,3.0,0.1,
Ousmane Dembélé,France,FW,,4,7,0,2,,2,144.0,191.0,75.4,11.0,3,0.0,241.0,6.0,0.5,
Pablo Sarabia,Spain,FW,,0,1,0,0,,0,2.0,5.0,40.0,0.0,0,0.0,6.0,0.0,0.1,
Paik Seung-ho,Korea Republic,MF,,0,1,1,0,,1,20.0,27.0,74.1,3.0,0,0.0,30.0,0.0,0.0,
Pape Abou Cissé,Senegal,DF,,1,3,0,0,,0,28.0,37.0,75.7,0.0,2,6.0,49.0,0.0,0.0,
Pape Gueye,Senegal,MF,,1,3,0,0,,2,45.0,62.0,72.6,4.0,2,2.0,81.0,3.0,0.1,
Pape Matar Sarr,Senegal,MF,,0,2,0,0,,0,36.0,43.0,83.7,3.0,0,2.0,54.0,2.0,0.1,
Papu Gómez,Argentina,MF,,1,2,0,0,,0,53.0,60.0,88.3,2.0,1,0.0,69.0,1.0,0.0,
Pathé Ciss,Senegal,MF,,1,3,0,0,,0,46.0,57.0,80.7,3.0,2,4.0,74.0,1.0,0.0,
Pau Torres,Spain,DF,,1,1,0,0,,0,174.0,191.0,91.1,0.0,0,2.0,194.0,0.0,0.0,
Paulo Dybala,Argentina,FW,,0,2,0,0,,0,8.0,12.0,66.7,3.0,0,1.0,20.0,1.0,0.0,
Pedri,Spain,MF,,4,4,0,0,,0,393.0,434.0,90.6,4.0,4,3.0,462.0,5.0,0.0,
Pedro,Brazil,FW,,0,2,0,0,,1,10.0,13.0,76.9,2.0,1,0.0,25.0,1.0,0.5,
Pepe,Portugal,DF,,4,4,1,0,,1,243.0,295.0,82.4,5.0,6,11.0,330.0,1.0,0.4,
Pervis Estupiñán,Ecuador,DF,,3,3,0,0,,1,148.0,190.0,77.9,6.0,3,6.0,217.0,4.0,0.1,
Phil Foden,England,FW,,2,4,1,2,,1,90.0,117.0,76.9,1.0,1,0.0,143.0,1.0,1.1,
Piero Hincapié,Ecuador,DF,,3,3,0,0,,0,168.0,200.0,84.0,7.0,2,9.0,227.0,0.0,0.0,
Pierre Højbjerg,Denmark,MF,,3,3,0,0,,1,200.0,224.0,89.3,4.0,3,6.0,249.0,2.0,0.0,
Pierre Kunde,Cameroon,MF,,1,2,0,0,,2,38.0,49.0,77.6,4.0,4,4.0,70.0,3.0,0.2,
Piotr Zieliński,Poland,MF,,3,4,1,0,,2,124.0,153.0,81.0,7.0,1,7.0,178.0,1.0,0.6,
Przemysław Frankowski,Poland,MF,,2,4,0,0,,0,49.0,74.0,66.2,7.0,3,5.0,97.0,3.0,0.0,
Rafael Leão,Portugal,FW,,1,5,2,0,,2,32.0,47.0,68.1,0.0,1,0.0,63.0,2.0,0.4,
Raheem Sterling,England,FW,,1,3,1,1,,1,45.0,55.0,81.8,1.0,1,0.0,68.0,3.0,0.4,
