player_id,player_name,team_id,team_name,position,age
587,Shaquell Moore,105,United States,DF,
588,Shogo Taniguchi,118,Japan,DF,
589,Shūichi Gonda,118,Japan,GK,
590,Silvan Widmer,123,Switzerland,DF,
591,Simon Kjær,109,Denmark,DF,
592,Sofiane Boufal,115,Morocco,FW,
593,Sofyan Amrabat,115,Morocco,MF,
594,Son Heung-min,126,Korea Republic,FW,
595,Son Jun-ho,126,Korea Republic,MF,
596,Sorba Thomas,106,Wales,MF,
597,Srđan Babić,130,Serbia,DF,
598,Stefan Mitrović,130,Serbia,DF,
599,Stephen Eustáquio,122,Canada,MF,
600,Steve Mandanda,113,France,GK,
601,Steven Berghuis,104,Netherlands,MF,
602,Steven Bergwijn,104,Netherlands,FW,
603,Steven Vitória,122,Canada,DF,
604,Strahinja Pavlović,130,Serbia,DF,
605,Sultan Al-Ghanam,108,Saudi Arabia,DF,
606,Taha Yassine Khenissi,110,Tunisia,FW,
607,Tajon Buchanan,122,Canada,MF,
608,Takefusa Kubo,118,Japan,FW,
609,Takehiro Tomiyasu,118,Japan,DF,
610,Takuma Asano,118,Japan,FW,
611,Takumi Minamino,118,Japan,FW,
612,Tarek Salman,99,Qatar,DF,
613,Tariq Lamptey,128,Ghana,DF,
614,Teun Koopmeiners,104,Netherlands,MF,
615,Theo Hernández,113,France,DF,
616,Thiago Almada,107,Argentina,MF,
617,Thiago Silva,129,Brazil,DF,
618,Thibaut Courtois,121,Belgium,GK,
619,Thilo Kehrer,117,Germany,DF,
620,Thomas Delaney,109,Denmark,MF,
621,Thomas Meunier,121,Belgium,DF,
