player_id,team_id,player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
659,115,Yassine Bounou,Morocco,GK,,6,6,0,0,,0,154.0,209.0,73.7,0.0,0,5.0,219.0,0.0,0.0,
660,110,Yassine Meriah,Tunisia,DF,,3,3,0,0,,0,139.0,171.0,81.3,4.0,1,20.0,208.0,0.0,0.1,
661,120,Yeltsin Tejeda,Costa Rica,MF,,3,3,1,1,,2,78.0,99.0,78.8,4.0,1,7.0,128.0,2.0,0.4,
662,121,Youri Tielemans,Belgium,MF,,1,3,0,0,,0,53.0,64.0,82.8,3.0,2,0.0,77.0,0.0,0.0,
663,115,Youssef En-Nesyri,Morocco,FW,,6,7,2,0,,3,50.0,81.0,61.7,3.0,1,11.0,127.0,1.0,1.2,
664,110,Youssef Msakni,Tunisia,MF,,1,2,0,0,,2,50.0,69.0,72.5,3.0,0,1.0,95.0,5.0,0.5,
665,113,Youssouf Fofana,France,MF,,2,6,0,0,,0,96.0,112.0,85.7,8.0,3,0.0,138.0,3.0,0.2,
666,103,Youssouf Sabaly,Senegal,DF,,4,4,0,0,,1,189.0,219.0,86.3,6.0,4,9.0,253.0,1.0,0.0,
667,117,Youssoufa Moukoko,Germany,FW,,0,1,0,0,,0,1.0,2.0,50.0,0.0,0,0.0,2.0,0.0,0.0,
668,120,Youstin Salas,Costa Rica,DF,,0,2,0,0,,0,15.0,19.0,78.9,5.0,0,1.0,27.0,1.0,0.0,
669,118,Yuki Soma,Japan,FW,,0,1,0,0,,0,11.0,19.0,57.9,2.0,0,0.0,26.0,0.0,0.2,
670,105,Yunus Musah,United States,MF,,3,4,0,0,,1,151.0,182.0,83.0,8.0,2,1.0,221.0,3.0,0.3,
671,118,Yuto Nagatomo,Japan,MF,,2,4,0,0,,0,78.0,109.0,71.6,4.0,0,3.0,123.0,1.0,0.0,
672,115,Zakaria Aboukhlal,Morocco,FW,,0,4,1,0,,2,7.0,14.0,50.0,1.0,1,1.0,26.0,0.0,1.0,
673,119,Álvaro Morata,Spain,FW,,2,4,3,1,,5,28.0,41.0,68.3,1.0,0,2.0,58.0,5.0,1.4,
674,120,Álvaro Zamora,Costa Rica,MF,,0,1,0,0,,0,5.0,5.0,100.0,2.0,1,0.0,9.0,1.0,0.0,
675,107,Ángel Correa,Argentina,MF,,0,1,0,0,,0,3.0,3.0,100.0,1.0,0,1.0,6.0,0.0,0.0,
676,107,Ángel Di María,Argentina,MF,,3,5,1,1,,3,130.0,168.0,77.4,3.0,1,0.0,201.0,6.0,0.8,
677,100,Ángelo Preciado,Ecuador,DF,,2,3,0,1,,0,94.0,129.0,72.9,7.0,6,4.0,162.0,2.0,0.1,
678,129,Éder Militão,Brazil,DF,,3,4,0,0,,1,251.0,277.0,90.6,7.0,3,5.0,306.0,1.0,0.2,
679,120,Óscar Duarte,Costa Rica,DF,,3,3,0,0,,0,68.0,98.0,69.4,4.0,6,15.0,132.0,0.0,0.0,
680,117,İlkay Gündoğan,Germany,MF,,2,3,1,0,,2,150.0,168.0,89.3,3.0,1,1.0,187.0,1.0,1.1,
