match_id,competition_name,season,date,time,home_team_id,away_team_id,home_goals,away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,venue,referee,goal_difference,total_goals,total_cards,home_shot_accuracy,away_shot_accuracy,result
49,Bundesliga,2022-23,2023-09-30,14:30:00,12,15,1.0,0.0,9.0,19.0,4.0,8.0,11.0,14.0,5.0,7.0,1.0,2.0,0.0,0.0,,,1.0,1.0,3.0,44.44444444444444,42.10526315789473,H
50,Bundesliga,2022-23,2023-09-30,14:30:00,16,7,0.0,3.0,10.0,6.0,3.0,3.0,13.0,11.0,3.0,1.0,4.0,1.0,0.0,0.0,,,-3.0,3.0,5.0,30.0,50.0,A
51,Bundesliga,2022-23,2023-09-30,14:30:00,11,17,2.0,0.0,19.0,7.0,7.0,3.0,11.0,18.0,7.0,4.0,1.0,6.0,0.0,1.0,,,2.0,2.0,8.0,36.84210526315789,42.857142857142854,H
52,Bundesliga,2022-23,2023-09-30,17:30:00,8,2,2.0,2.0,7.0,11.0,2.0,5.0,10.0,11.0,5.0,1.0,2.0,5.0,0.0,0.0,,,0.0,4.0,7.0,28.57142857142857,45.45454545454545,D
53,Bundesliga,2022-23,2023-10-01,14:30:00,18,1,4.0,2.0,14.0,10.0,5.0,7.0,19.0,19.0,2.0,4.0,3.0,2.0,0.0,0.0,,,2.0,6.0,5.0,35.714285714285715,70.0,H
54,Bundesliga,2022-23,2023-10-01,16:30:00,6,3,2.0,0.0,7.0,13.0,3.0,4.0,13.0,17.0,2.0,3.0,2.0,2.0,0.0,0.0,,,2.0,2.0,4.0,42.857142857142854,30.76923076923077,H
55,Bundesliga,2022-23,2023-10-06,19:30:00,4,16,2.0,2.0,20.0,13.0,9.0,7.0,9.0,9.0,10.0,3.0,3.0,1.0,0.0,0.0,,,0.0,4.0,4.0,45.0,53.84615384615385,D
56,Bundesliga,2022-23,2023-10-07,14:30:00,3,18,1.0,2.0,17.0,17.0,3.0,5.0,13.0,12.0,4.0,4.0,4.0,2.0,0.0,0.0,,,-1.0,3.0,6.0,17.647058823529413,29.411764705882355,A
57,Bundesliga,2022-23,2023-10-07,14:30:00,13,15,4.0,2.0,12.0,12.0,7.0,6.0,7.0,15.0,4.0,6.0,1.0,1.0,0.0,0.0,,,2.0,6.0,2.0,58.333333333333336,50.0,H
58,Bundesliga,2022-23,2023-10-07,14:30:00,8,10,0.0,0.0,18.0,9.0,5.0,2.0,10.0,13.0,9.0,1.0,2.0,4.0,0.0,0.0,,,0.0,0.0,6.0,27.77777777777778,22.22222222222222,D
59,Bundesliga,2022-23,2023-10-07,14:30:00,9,11,3.0,1.0,13.0,12.0,7.0,5.0,13.0,14.0,5.0,6.0,1.0,3.0,0.0,0.0,,,2.0,4.0,4.0,53.84615384615385,41.66666666666667,H
60,Bundesliga,2022-23,2023-10-07,17:30:00,1,5,2.0,3.0,13.0,11.0,3.0,4.0,15.0,6.0,4.0,4.0,5.0,4.0,0.0,0.0,,,-1.0,5.0,9.0,23.076923076923077,36.36363636363637,A
61,Bundesliga,2022-23,2023-10-08,14:30:00,7,14,3.0,0.0,21.0,7.0,10.0,3.0,9.0,7.0,11.0,4.0,3.0,0.0,0.0,0.0,,,3.0,3.0,3.0,47.61904761904761,42.857142857142854,H
62,Bundesliga,2022-23,2023-10-08,16:30:00,2,6,3.0,0.0,21.0,2.0,5.0,0.0,7.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,,,3.0,3.0,1.0,23.809523809523807,0.0,H
63,Bundesliga,2022-23,2023-10-08,18:30:00,17,12,2.0,0.0,12.0,7.0,6.0,2.0,14.0,10.0,3.0,6.0,2.0,3.0,0.0,0.0,,,2.0,2.0,5.0,50.0,28.57142857142857,H
64,Bundesliga,2022-23,2023-10-20,19:30:00,13,1,1.0,0.0,22.0,6.0,5.0,1.0,5.0,10.0,10.0,4.0,1.0,5.0,0.0,0.0,,,1.0,1.0,6.0,22.727272727272727,16.666666666666664,H
65,Bundesliga,2022-23,2023-10-21,14:30:00,18,8,1.0,3.0,16.0,10.0,3.0,7.0,16.0,12.0,6.0,0.0,6.0,3.0,0.0,0.0,,,-2.0,4.0,9.0,18.75,70.0,A
66,Bundesliga,2022-23,2023-10-21,14:30:00,6,10,2.0,1.0,15.0,13.0,5.0,5.0,11.0,16.0,5.0,2.0,3.0,4.0,0.0,0.0,,,1.0,3.0,7.0,33.33333333333333,38.46153846153847,H
67,Bundesliga,2022-23,2023-10-21,14:30:00,5,17,1.0,3.0,14.0,13.0,5.0,5.0,7.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,,,-2.0,4.0,3.0,35.714285714285715,38.46153846153847,A
68,Bundesliga,2022-23,2023-10-21,14:30:00,15,9,0.0,3.0,10.0,10.0,2.0,5.0,12.0,12.0,4.0,2.0,2.0,1.0,0.0,0.0,,,-3.0,3.0,3.0,20.0,50.0,A
69,Bundesliga,2022-23,2023-10-21,14:30:00,11,7,1.0,2.0,18.0,13.0,7.0,6.0,15.0,14.0,4.0,3.0,3.0,5.0,0.0,0.0,,,-1.0,3.0,8.0,38.88888888888889,46.15384615384615,A
